WN1,WN2,WN3,WN4,WN5,WN6,WN7,WN8,WN9,WN10,WN11,WN12,WN13,WN14,WN15,WN16,WN17,WN18,WN19,WN20,WN21,WN22,WN23,WN24,WN25,WN26,WN27,WN28,WN29,WN30,WN31,WN32,WN33,WN34,WN35,WN36,WN37,WN38,WN39,WN40,WN41,WN42,WN43,WN44,WN45,WN46,WN47,WN48,WN49,WN50,WN51,WN52,WN53,WN54,WN55,WN56,WN57,WN58,WN59,WN60,WN61,WN62,WN63,WN64,WN65,WN66,WN67,WN68,WN69,WN70,WN71,WN72,WN73,WN74,WN75,WN76,WN77,WN78,WN79,WN80,WN81,WN82,WN83,WN84,WN85,WN86,WN87,WN88,WN89,WN90,WN91,WN92,WN93,WN94,WN95,WN96,WN97,WN98,WN99,WN100,WN101,WN102,WN103,WN104,WN105,WN106,WN107,WN108,WN109,WN110,WN111,WN112,WN113,WN114,WN115,WN116,WN117,WN118,WN119,WN120,WN121,WN122,WN123,WN124,WN125,WN126,WN127,WN128,WN129,WN130,WN131,WN132,WN133,WN134,WN135,WN136,WN137,WN138,WN139,WN140,WN141,WN142,WN143,WN144,WN145,WN146,WN147,WN148,WN149,WN150,WN151,WN152,WN153,WN154,WN155,WN156,WN157,WN158,WN159,WN160,WN161,WN162,WN163,WN164,WN165,WN166,WN167,WN168,WN169,WN170,WN171,WN172,WN173,WN174,WN175,WN176,WN177,WN178,WN179,WN180,WN181,WN182,WN183,WN184,WN185,WN186,WN187,WN188,WN189,WN190,WN191,WN192,WN193,WN194,WN195,WN196,WN197,WN198,WN199,WN200,WN201,WN202,WN203,WN204,WN205,WN206,WN207,WN208,WN209,WN210,WN211,WN212,WN213,WN214,WN215,WN216,WN217,WN218,WN219,WN220,WN221,WN222,WN223,WN224,Label
1.1928,1.3413,1.4948,1.6562,1.8285,2.0148,2.2093,2.4192,2.6912,3.0507,3.4621,3.8342,4.0979,4.2191,4.2126,4.0759,3.8264,3.5502,3.3169,3.16,3.0662,2.9799,2.8855,2.8005,2.7307,2.6547,2.5885,2.5384,2.4862,2.4382,2.4049,2.3736,2.3439,2.3268,2.3194,2.3104,2.3051,2.3069,2.3055,2.2904,2.258,2.1653,2.3526,2.6633,2.9352,3.096,3.1211,3.0071,2.7579,2.3952,1.9653,1.5571,1.4566,1.3947,1.3066,1.202,1.0912,0.98812,0.90691,0.85527,0.82863,0.81582,0.80674,0.79504,0.77887,0.75893,0.73729,0.71614,0.69676,0.68016,0.66742,0.6594,0.65682,0.66072,0.67289,0.69467,0.72595,0.76381,0.80274,0.8361,0.85797,0.86438,0.85411,0.82928,0.79454,0.75605,0.71998,0.69097,0.67121,0.66066,0.65881,0.66567,0.68244,0.71232,0.76142,0.84012,0.96495,1.171,1.5112,1.9571,2.3966,2.7222,2.8617,2.7842,2.5006,2.0607,1.5511,1.0884,0.77474,0.60568,0.5205,0.48039,0.46163,0.45077,0.44191,0.43332,0.42521,0.41828,0.41306,0.40958,0.40755,0.40664,0.40637,0.40653,0.40705,0.40788,0.40897,0.41034,0.41205,0.41419,0.41675,0.41966,0.42261,0.42522,0.42716,0.4283,0.42872,0.42873,0.42876,0.42916,0.43008,0.43153,0.43321,0.43485,0.43633,0.43769,0.43911,0.44085,0.44317,0.44607,0.4495,0.45305,0.45626,0.45898,0.46116,0.4628,0.46428,0.46595,0.46793,0.47029,0.47301,0.47584,0.47848,0.48086,0.48293,0.48451,0.48585,0.48713,0.48833,0.4897,0.49135,0.49333,0.49566,0.49843,0.50167,0.50523,0.50923,0.51384,0.51915,0.5254,0.5324,0.53972,0.547,0.55365,0.55955,0.56497,0.57067,0.57752,0.586,0.59639,0.6085,0.62196,0.6363,0.6504,0.66295,0.67237,0.67703,0.67581,0.66839,0.65557,0.63919,0.62168,0.60557,0.59248,0.58319,0.57739,0.57419,0.5727,0.57219,0.57227,0.57265,0.57321,0.57396,0.57492,0.5761,0.57767,0.57946,0.58194,0.58501,0.58856,0.59257,0.59703,0.60191,0.60718,1
1.1979,1.3437,1.4967,1.66,1.8362,2.0283,2.2273,2.4475,2.7357,3.1281,3.5452,3.9077,4.1565,4.2645,4.2458,4.0872,3.8195,3.5369,3.313,3.1751,3.0765,2.9918,2.9031,2.8221,2.7551,2.6781,2.6086,2.5555,2.504,2.4569,2.424,2.396,2.3675,2.3511,2.3437,2.3354,2.3287,2.3287,2.3275,2.3136,2.2807,2.1805,2.3904,2.7076,2.9796,3.1366,3.1539,3.0294,2.7689,2.3946,1.9525,1.5361,1.4552,1.3901,1.3018,1.1983,1.0882,0.98557,0.90531,0.8545,0.82831,0.81554,0.80614,0.7943,0.77799,0.75794,0.73616,0.71472,0.69532,0.67878,0.6661,0.658,0.65531,0.65927,0.67133,0.69295,0.72393,0.76134,0.79989,0.83287,0.85427,0.86011,0.84944,0.82444,0.78972,0.75134,0.71544,0.68656,0.66691,0.6565,0.65465,0.66149,0.67826,0.70812,0.75736,0.83629,0.96164,1.1673,1.5011,1.9343,2.3603,2.6753,2.8088,2.7307,2.4518,2.0217,1.5253,1.0749,0.76724,0.5992,0.5146,0.47512,0.45691,0.4464,0.43769,0.42913,0.421,0.41411,0.40889,0.40535,0.40324,0.40222,0.40186,0.40193,0.40239,0.40313,0.40421,0.4056,0.40726,0.40931,0.41176,0.41454,0.41744,0.41999,0.42188,0.4229,0.42328,0.42322,0.42318,0.42343,0.4242,0.42552,0.42716,0.42876,0.43022,0.43153,0.43298,0.43467,0.43694,0.4398,0.44314,0.44662,0.44979,0.45243,0.45456,0.4562,0.45762,0.45916,0.46107,0.46342,0.46612,0.46891,0.47146,0.47381,0.47581,0.47738,0.47861,0.47983,0.48106,0.48246,0.48419,0.48623,0.4886,0.4914,0.49461,0.49818,0.50212,0.50657,0.51174,0.51782,0.52479,0.53218,0.53937,0.54596,0.55179,0.55717,0.56274,0.56941,0.57785,0.58816,0.60027,0.61375,0.62792,0.64182,0.65415,0.66335,0.66791,0.6668,0.65958,0.64677,0.63043,0.613,0.59691,0.58378,0.57455,0.56875,0.56566,0.56417,0.56359,0.56346,0.56363,0.56405,0.56481,0.56596,0.56735,0.56891,0.57095,0.57345,0.5762,0.57942,0.58319,0.58759,0.59269,0.59855,1
1.195,1.3443,1.4988,1.6623,1.8384,2.0308,2.2335,2.4683,2.7631,3.1459,3.5585,3.9135,4.1508,4.2415,4.2083,4.0498,3.7922,3.5287,3.312,3.1751,3.0866,2.9993,2.8986,2.8066,2.7374,2.664,2.5936,2.5431,2.4918,2.4465,2.4147,2.3859,2.3569,2.3409,2.3333,2.3235,2.3163,2.3171,2.3153,2.3024,2.2715,2.1723,2.3781,2.6959,2.969,3.1268,3.1475,3.0257,2.768,2.3965,1.9566,1.5397,1.4543,1.3902,1.3021,1.1982,1.0884,0.98629,0.90584,0.85489,0.82852,0.81569,0.80615,0.79415,0.77786,0.75797,0.73631,0.71502,0.69548,0.67883,0.66607,0.658,0.65529,0.65916,0.67119,0.69297,0.72403,0.76144,0.79998,0.83295,0.85441,0.86041,0.84986,0.82491,0.79028,0.75204,0.71615,0.68739,0.66783,0.65734,0.65553,0.66238,0.67915,0.70889,0.7579,0.8362,0.96072,1.1653,1.5,1.9361,2.3662,2.6858,2.8235,2.7482,2.4704,2.0391,1.5396,1.0851,0.77436,0.60423,0.51803,0.47748,0.4586,0.44773,0.43879,0.43015,0.42204,0.41508,0.40985,0.4063,0.40416,0.40306,0.40266,0.4028,0.40324,0.40398,0.40511,0.40645,0.40816,0.41016,0.41252,0.41525,0.41805,0.42057,0.42238,0.42341,0.42377,0.42367,0.42363,0.42389,0.4247,0.42612,0.42777,0.4294,0.43083,0.43212,0.43348,0.43519,0.43746,0.4403,0.44372,0.44727,0.4504,0.45304,0.45509,0.45675,0.45821,0.4598,0.46173,0.46399,0.46665,0.46946,0.47194,0.47425,0.47624,0.47791,0.47922,0.48045,0.4816,0.48284,0.48446,0.48642,0.48862,0.49139,0.49463,0.49831,0.50236,0.50696,0.51216,0.51839,0.52544,0.53279,0.53995,0.54655,0.55238,0.55781,0.56344,0.57016,0.57853,0.58887,0.60097,0.61433,0.62841,0.64234,0.65493,0.6643,0.66897,0.66783,0.66047,0.64762,0.63118,0.6136,0.59757,0.58455,0.57546,0.56966,0.56645,0.56492,0.56425,0.56397,0.56418,0.56485,0.56593,0.56693,0.56823,0.56997,0.57217,0.57469,0.57755,0.58089,0.58464,0.58879,0.59335,0.5983,1
1.2076,1.3552,1.5102,1.6749,1.8516,2.0427,2.2285,2.4562,2.7418,3.1255,3.5322,3.8884,4.1461,4.2584,4.2367,4.0768,3.8055,3.5403,3.3112,3.1646,3.0612,2.9768,2.8934,2.8103,2.7453,2.6691,2.6036,2.5545,2.5031,2.4535,2.4213,2.3928,2.3637,2.3468,2.3404,2.3306,2.3255,2.3264,2.324,2.3094,2.2781,2.1884,2.3703,2.6822,2.9589,3.1259,3.1568,3.0473,2.8027,2.4442,2.016,1.6058,1.4962,1.4328,1.3444,1.2395,1.1281,1.0244,0.94347,0.89197,0.86564,0.85257,0.84313,0.83126,0.81502,0.79489,0.77312,0.75158,0.7321,0.71516,0.70229,0.69397,0.69114,0.69494,0.70699,0.72858,0.75964,0.79724,0.836,0.86919,0.89098,0.89709,0.88659,0.86136,0.82621,0.78733,0.75099,0.7218,0.70185,0.69118,0.68923,0.69608,0.7131,0.74323,0.7925,0.871,0.99535,1.1999,1.5368,1.9784,2.4136,2.7366,2.8755,2.7992,2.5183,2.0819,1.5761,1.1162,0.80348,0.63428,0.54838,0.50798,0.48903,0.47792,0.46884,0.45986,0.45146,0.44424,0.43873,0.43494,0.43264,0.43144,0.431,0.43099,0.43136,0.43196,0.43293,0.43406,0.43556,0.43748,0.43972,0.44226,0.44504,0.44737,0.44908,0.44992,0.45013,0.44986,0.44967,0.44975,0.45042,0.45158,0.45311,0.45452,0.4558,0.4569,0.45813,0.45977,0.4619,0.46468,0.46801,0.4715,0.47467,0.47727,0.47929,0.48079,0.48208,0.48364,0.48551,0.48772,0.49031,0.49317,0.49572,0.49806,0.49992,0.50134,0.50253,0.50374,0.50493,0.50611,0.5077,0.5097,0.51203,0.51482,0.51789,0.5213,0.5251,0.52952,0.53459,0.54058,0.54755,0.55497,0.5623,0.56904,0.57486,0.58,0.58544,0.59211,0.6005,0.61081,0.62284,0.63627,0.65038,0.66438,0.67689,0.68596,0.69056,0.68935,0.68193,0.66907,0.65266,0.63517,0.6189,0.6058,0.5964,0.59028,0.58686,0.58493,0.58405,0.58376,0.58395,0.58455,0.58556,0.58677,0.58806,0.58955,0.59158,0.59405,0.59656,0.59955,0.6031,0.60732,0.6123,0.61816,1
1.2097,1.3587,1.5147,1.6805,1.8591,2.0534,2.252,2.4835,2.7738,3.178,3.5806,3.9292,4.1614,4.2518,4.212,4.0396,3.7638,3.4912,3.2704,3.1467,3.0463,2.9656,2.8774,2.7959,2.7284,2.6564,2.5891,2.5411,2.4898,2.4435,2.4141,2.3851,2.3565,2.3381,2.3327,2.325,2.3212,2.3223,2.3192,2.3051,2.2739,2.1889,2.3627,2.6701,2.9441,3.1091,3.1412,3.0336,2.7911,2.4368,2.013,1.6097,1.4951,1.4335,1.3447,1.2395,1.1283,1.0251,0.9439,0.89265,0.86613,0.85318,0.84354,0.83154,0.81519,0.79503,0.77356,0.75224,0.73267,0.71589,0.7031,0.69493,0.69208,0.69585,0.70791,0.7296,0.76072,0.79824,0.83688,0.87006,0.89172,0.89767,0.88712,0.86198,0.82699,0.78822,0.75194,0.72281,0.70293,0.69232,0.69038,0.69722,0.71426,0.7443,0.79361,0.87226,0.99696,1.2018,1.5405,1.9838,2.4211,2.7455,2.8847,2.808,2.5259,2.088,1.5803,1.1186,0.80553,0.63576,0.55017,0.50957,0.49039,0.47932,0.47022,0.4614,0.45299,0.44577,0.44027,0.43649,0.43419,0.43297,0.43237,0.43227,0.43257,0.43318,0.43407,0.43529,0.4368,0.43865,0.4409,0.44357,0.4463,0.44867,0.45042,0.45132,0.45156,0.45141,0.45118,0.45123,0.45181,0.45298,0.45438,0.45577,0.45709,0.45824,0.45961,0.46138,0.46364,0.46658,0.46994,0.47334,0.47636,0.47888,0.48086,0.48232,0.48359,0.48502,0.48681,0.48902,0.49161,0.49427,0.49671,0.49905,0.5011,0.50276,0.5041,0.50534,0.50657,0.50788,0.50948,0.51145,0.51368,0.51641,0.51955,0.5231,0.52701,0.53136,0.53656,0.54263,0.5495,0.55686,0.5641,0.57078,0.57662,0.58195,0.58746,0.59412,0.60252,0.61272,0.6247,0.63812,0.65235,0.66641,0.67891,0.68809,0.69256,0.6914,0.68381,0.67071,0.65409,0.63648,0.62032,0.60731,0.59784,0.59179,0.58867,0.58728,0.58672,0.58663,0.58708,0.58782,0.58882,0.5899,0.59084,0.59225,0.59422,0.59663,0.59956,0.60296,0.60684,0.61121,0.61606,0.62141,1
1.1979,1.3295,1.4719,1.6261,1.7931,1.974,2.1621,2.3732,2.6243,2.9231,3.2401,3.5297,3.7443,3.8531,3.8687,3.7873,3.6238,3.4474,3.2886,3.1656,3.0819,3.0114,2.9346,2.8606,2.7963,2.7267,2.6621,2.6118,2.5624,2.5173,2.4868,2.4576,2.428,2.4111,2.4035,2.394,2.3885,2.3904,2.3889,2.3756,2.3465,2.2898,2.4577,2.7084,2.9138,3.0132,2.989,2.8419,2.5803,2.2306,1.8411,1.4988,1.4052,1.3378,1.2521,1.1515,1.0449,0.94579,0.86738,0.81736,0.79151,0.7791,0.77023,0.75898,1.1979,1.3295,1.4719,1.6261,1.7931,1.974,2.1621,2.3732,2.6243,2.9231,3.2401,3.5297,3.7443,3.8531,3.8687,3.7873,3.6238,3.4474,3.2886,3.1656,3.0819,3.0114,2.9346,2.8606,2.7963,2.7267,2.6621,2.6118,2.5624,2.5173,2.4868,2.4576,2.428,2.4111,2.4035,2.394,2.3885,2.3904,2.3889,2.3756,2.3465,2.2898,2.4577,2.7084,2.9138,3.0132,2.989,2.8419,2.5803,2.2306,1.8411,1.4988,1.4052,1.3378,1.2521,1.1515,1.0449,0.94579,0.86738,0.81736,0.79151,0.7791,0.77023,0.75898,1.1979,1.3295,1.4719,1.6261,1.7931,1.974,2.1621,2.3732,2.6243,2.9231,3.2401,3.5297,3.7443,3.8531,3.8687,3.7873,3.6238,3.4474,3.2886,3.1656,3.0819,3.0114,2.9346,2.8606,2.7963,2.7267,2.6621,2.6118,2.5624,2.5173,2.4868,2.4576,2.428,2.4111,2.4035,2.394,2.3885,2.3904,2.3889,2.3756,2.3465,2.2898,2.4577,2.7084,2.9138,3.0132,2.989,2.8419,2.5803,2.2306,1.8411,1.4988,1.4052,1.3378,1.2521,1.1515,1.0449,0.94579,0.86738,0.81736,0.79151,0.7791,0.77023,0.75898,1.1979,1.3295,1.4719,1.6261,1.7931,1.974,2.1621,2.3732,2.6243,2.9231,3.2401,3.5297,3.7443,3.8531,3.8687,3.7873,3.6238,3.4474,3.2886,3.1656,3.0819,3.0114,2.9346,2.8606,2.7963,2.7267,2.6621,2.6118,2.5624,2.5173,2.4868,2.4576,1
1.1896,1.323,1.4641,1.6132,1.7706,1.9365,2.1102,2.2888,2.4886,2.7142,2.9612,3.207,3.4217,3.5716,3.6666,3.6933,3.6523,3.5794,3.4932,3.4039,3.3334,3.2662,3.1914,3.1134,3.0435,2.9655,2.8934,2.8374,2.7847,2.7352,2.7011,2.6701,2.6388,2.6203,2.6118,2.6016,2.5955,2.5977,2.5961,2.5814,2.5518,2.5461,2.7037,2.8908,3.0162,3.0348,2.9377,2.7335,2.437,2.0812,1.7241,1.4621,1.3811,1.3094,1.2261,1.1302,1.0286,0.93386,0.85899,0.81116,0.7861,0.77383,0.76506,0.75409,1.1896,1.323,1.4641,1.6132,1.7706,1.9365,2.1102,2.2888,2.4886,2.7142,2.9612,3.207,3.4217,3.5716,3.6666,3.6933,3.6523,3.5794,3.4932,3.4039,3.3334,3.2662,3.1914,3.1134,3.0435,2.9655,2.8934,2.8374,2.7847,2.7352,2.7011,2.6701,2.6388,2.6203,2.6118,2.6016,2.5955,2.5977,2.5961,2.5814,2.5518,2.5461,2.7037,2.8908,3.0162,3.0348,2.9377,2.7335,2.437,2.0812,1.7241,1.4621,1.3811,1.3094,1.2261,1.1302,1.0286,0.93386,0.85899,0.81116,0.7861,0.77383,0.76506,0.75409,1.1896,1.323,1.4641,1.6132,1.7706,1.9365,2.1102,2.2888,2.4886,2.7142,2.9612,3.207,3.4217,3.5716,3.6666,3.6933,3.6523,3.5794,3.4932,3.4039,3.3334,3.2662,3.1914,3.1134,3.0435,2.9655,2.8934,2.8374,2.7847,2.7352,2.7011,2.6701,2.6388,2.6203,2.6118,2.6016,2.5955,2.5977,2.5961,2.5814,2.5518,2.5461,2.7037,2.8908,3.0162,3.0348,2.9377,2.7335,2.437,2.0812,1.7241,1.4621,1.3811,1.3094,1.2261,1.1302,1.0286,0.93386,0.85899,0.81116,0.7861,0.77383,0.76506,0.75409,1.1896,1.323,1.4641,1.6132,1.7706,1.9365,2.1102,2.2888,2.4886,2.7142,2.9612,3.207,3.4217,3.5716,3.6666,3.6933,3.6523,3.5794,3.4932,3.4039,3.3334,3.2662,3.1914,3.1134,3.0435,2.9655,2.8934,2.8374,2.7847,2.7352,2.7011,2.6701,1
1.2039,1.3285,1.4687,1.6232,1.7905,1.9691,2.1511,2.3392,2.5528,2.8022,3.0777,3.3491,3.5754,3.7322,3.8158,3.8235,3.7461,3.6357,3.5176,3.4088,3.3248,3.2477,3.159,3.0753,2.9999,2.9204,2.8448,2.787,2.7312,2.6795,2.6432,2.6099,2.5766,2.5576,2.5508,2.5407,2.5341,2.5347,2.5324,2.5169,2.4836,2.4637,2.6427,2.8649,3.0263,3.076,3.0027,2.8123,2.5181,2.1509,1.7685,1.4765,1.3984,1.3276,1.243,1.1452,1.0415,0.94519,0.86911,0.8205,0.79514,0.78267,0.77375,0.7626,1.2039,1.3285,1.4687,1.6232,1.7905,1.9691,2.1511,2.3392,2.5528,2.8022,3.0777,3.3491,3.5754,3.7322,3.8158,3.8235,3.7461,3.6357,3.5176,3.4088,3.3248,3.2477,3.159,3.0753,2.9999,2.9204,2.8448,2.787,2.7312,2.6795,2.6432,2.6099,2.5766,2.5576,2.5508,2.5407,2.5341,2.5347,2.5324,2.5169,2.4836,2.4637,2.6427,2.8649,3.0263,3.076,3.0027,2.8123,2.5181,2.1509,1.7685,1.4765,1.3984,1.3276,1.243,1.1452,1.0415,0.94519,0.86911,0.8205,0.79514,0.78267,0.77375,0.7626,1.2039,1.3285,1.4687,1.6232,1.7905,1.9691,2.1511,2.3392,2.5528,2.8022,3.0777,3.3491,3.5754,3.7322,3.8158,3.8235,3.7461,3.6357,3.5176,3.4088,3.3248,3.2477,3.159,3.0753,2.9999,2.9204,2.8448,2.787,2.7312,2.6795,2.6432,2.6099,2.5766,2.5576,2.5508,2.5407,2.5341,2.5347,2.5324,2.5169,2.4836,2.4637,2.6427,2.8649,3.0263,3.076,3.0027,2.8123,2.5181,2.1509,1.7685,1.4765,1.3984,1.3276,1.243,1.1452,1.0415,0.94519,0.86911,0.8205,0.79514,0.78267,0.77375,0.7626,1.2039,1.3285,1.4687,1.6232,1.7905,1.9691,2.1511,2.3392,2.5528,2.8022,3.0777,3.3491,3.5754,3.7322,3.8158,3.8235,3.7461,3.6357,3.5176,3.4088,3.3248,3.2477,3.159,3.0753,2.9999,2.9204,2.8448,2.787,2.7312,2.6795,2.6432,2.6099,1
0.82573,0.81831,0.79574,0.7615,0.71908,0.67196,0.62512,0.58166,0.54357,0.51113,0.48603,0.46513,0.44787,0.43179,0.41738,0.40392,0.39277,0.38468,0.37924,0.37543,0.37339,0.37117,0.36719,0.36141,0.35384,0.34423,0.33392,0.32488,0.31718,0.31183,0.30961,0.30922,0.30942,0.31032,0.31026,0.30815,0.30441,0.29968,0.29351,0.28644,0.27921,0.27274,0.26688,0.26189,0.25779,0.25495,0.25349,0.25307,0.25312,0.25387,0.25542,0.25775,0.26009,0.26242,0.26505,0.26779,0.27065,0.27395,0.27788,0.28221,0.28678,0.29167,0.29699,0.30213,0.30655,0.31011,0.31343,0.31672,0.3194,0.3211,0.32208,0.32297,0.32422,0.32537,0.32614,0.32674,0.32761,0.32871,0.32942,0.32939,0.32864,0.3275,0.32621,0.32445,0.32205,0.31909,0.31596,0.31304,0.31034,0.30777,0.30531,0.30315,0.30148,0.30049,0.30041,0.30122,0.30302,0.30555,0.30852,0.31169,0.31481,0.31747,0.31924,0.31974,0.31888,0.31679,0.31389,0.31075,0.30836,0.30732,0.30758,0.30859,0.30973,0.31049,0.31077,0.31081,0.31104,0.31177,0.31315,0.31498,0.31701,0.31897,0.3207,0.32216,0.32339,0.3245,0.32576,0.32726,0.32911,0.33142,0.33418,0.33716,0.34003,0.34241,0.34408,0.34505,0.34569,0.34621,0.34702,0.34818,0.34978,0.35171,0.35376,0.35572,0.35755,0.35928,0.36117,0.36338,0.36595,0.36887,0.37206,0.37532,0.37832,0.38092,0.38305,0.38478,0.38631,0.38802,0.38991,0.39212,0.39457,0.39719,0.3997,0.40206,0.4042,0.40605,0.40771,0.4093,0.41084,0.41243,0.41419,0.41621,0.41855,0.42131,0.42443,0.42781,0.43148,0.43542,0.43965,0.44416,0.4489,0.45375,0.4586,0.46337,0.46803,0.47269,0.4779,0.48403,0.49127,0.49959,0.50852,0.51776,0.52682,0.53505,0.54176,0.54616,0.54785,0.54653,0.54226,0.53578,0.52788,0.51984,0.51273,0.50719,0.50371,0.50254,0.50374,0.5067,0.51071,0.51554,0.52048,0.52538,0.52955,0.53272,0.53468,0.53598,0.53704,0.53759,0.53784,0.53814,0.53898,0.54072,0.54371,0.5483,2
0.82774,0.83402,0.82234,0.79652,0.7604,0.71782,0.67442,0.63258,0.59601,0.56539,0.54121,0.52142,0.50425,0.48899,0.47535,0.46217,0.45089,0.44237,0.43618,0.43185,0.42868,0.42562,0.42077,0.4143,0.40649,0.39692,0.38679,0.37797,0.37088,0.3659,0.36396,0.36359,0.36378,0.36459,0.36504,0.36368,0.36102,0.35759,0.35334,0.34808,0.34256,0.33729,0.33261,0.32856,0.32516,0.32253,0.32124,0.32119,0.32181,0.32296,0.32492,0.32775,0.33081,0.33374,0.33675,0.33995,0.3433,0.34701,0.35146,0.35659,0.362,0.36762,0.37352,0.37941,0.82774,0.83402,0.82234,0.79652,0.7604,0.71782,0.67442,0.63258,0.59601,0.56539,0.54121,0.52142,0.50425,0.48899,0.47535,0.46217,0.45089,0.44237,0.43618,0.43185,0.42868,0.42562,0.42077,0.4143,0.40649,0.39692,0.38679,0.37797,0.37088,0.3659,0.36396,0.36359,0.36378,0.36459,0.36504,0.36368,0.36102,0.35759,0.35334,0.34808,0.34256,0.33729,0.33261,0.32856,0.32516,0.32253,0.32124,0.32119,0.32181,0.32296,0.32492,0.32775,0.33081,0.33374,0.33675,0.33995,0.3433,0.34701,0.35146,0.35659,0.362,0.36762,0.37352,0.37941,0.82774,0.83402,0.82234,0.79652,0.7604,0.71782,0.67442,0.63258,0.59601,0.56539,0.54121,0.52142,0.50425,0.48899,0.47535,0.46217,0.45089,0.44237,0.43618,0.43185,0.42868,0.42562,0.42077,0.4143,0.40649,0.39692,0.38679,0.37797,0.37088,0.3659,0.36396,0.36359,0.36378,0.36459,0.36504,0.36368,0.36102,0.35759,0.35334,0.34808,0.34256,0.33729,0.33261,0.32856,0.32516,0.32253,0.32124,0.32119,0.32181,0.32296,0.32492,0.32775,0.33081,0.33374,0.33675,0.33995,0.3433,0.34701,0.35146,0.35659,0.362,0.36762,0.37352,0.37941,0.82774,0.83402,0.82234,0.79652,0.7604,0.71782,0.67442,0.63258,0.59601,0.56539,0.54121,0.52142,0.50425,0.48899,0.47535,0.46217,0.45089,0.44237,0.43618,0.43185,0.42868,0.42562,0.42077,0.4143,0.40649,0.39692,0.38679,0.37797,0.37088,0.3659,0.36396,0.36359,2
